Suburb Name or Postcode,Employment Regions (% of population in each Area)
DIREK,Adelaide North (100%)
DIRNASEER,Murray Riverina (100%)
DIRNBIR,Wide Bay and Sunshine Coast (100%)
DIRRANBANDI,Darling Downs (100%)
DIRTY CREEK,Mid North Coast (100%)
DISMAL SWAMP,Murray and South East (100%)
DITTMER,Mackay (100%)
DIXALEA,Fitzroy (100%)
DIXIE (VIC),South Coast of Victoria (100%)
DIXONS CREEK,North Eastern Melbourne (100%)
DIXVALE,South West WA (100%)
DJARAWONG,Cairns (100%)
DJIRU,Cairns (100%)
DJUAN,Darling Downs (100%)
DJUGUN,Broome (100%)
DOBIE,Wimmera Mallee (100%)
DOBIES BIGHT,North Coast (100%)
DOCKER,Goulburn/Murray (100%)
DOCKERS PLAINS,Goulburn/Murray (100%)
DOCKLANDS,Inner Metropolitan Melbourne (100%)
DOCKLANDS (WORLD TRADE CENTRE),Inner Metropolitan Melbourne (100%)
DOCTOR CREEK,Darling Downs (100%)
DOCTOR GEORGE MOUNTAIN,Illawarra South Coast (100%)
DOCTORS FLAT,Gippsland (100%)
DOCTORS GAP,Central West (100%)
DOCTORS POINT,Hobart and Southern Tasmania (100%)
DOCTORS ROCKS,North and North Western Tasmania (100%)
DODGES FERRY,Hobart and Southern Tasmania (100%)
DOG ROCKS,Central West (100%)
DOLANS BAY,Sydney East Metro (100%)
DOLLAR,Gippsland (100%)
DOLLS POINT,Sydney East Metro (100%)
DOLLYS FLAT,Mid North Coast (100%)
DOLPHIN HEADS,Mackay (100%)
DOLPHIN POINT,Illawarra South Coast (100%)
DOLPHIN SANDS,Hobart and Southern Tasmania (100%)
DOMBARTON,Illawarra South Coast (100%)
DOMVILLE,Darling Downs (100%)
DON,North and North Western Tasmania (100%)
DON VALLEY,North Eastern Melbourne (100%)
DONALD,Wimmera Mallee (100%)
DONALD CREEK,New England and North West (100%)
DONCASTER,Inner Metropolitan Melbourne (100%)
DONCASTER EAST,Inner Metropolitan Melbourne (100%)
DONDINGALONG,Mid North Coast (100%)
DONGOLOCKING,Great Southern - Wheatbelt (100%)
DONNELLY RIVER,South West WA (100%)
DONNELLYVILLE,Mid North Coast (100%)
DONNYBROOK (QLD),Somerset (100%)
DONNYBROOK (VIC),North Eastern Melbourne (100%)
DONNYBROOK (WA),South West WA (100%)
DONOVANS,Murray and South East (100%)
DONVALE,North Eastern Melbourne(98.3%);Inner Metropolitan Melbourne(1.7%)
DOOBOOBETIC,Wimmera Mallee (100%)
DOODENANNING,Great Southern - Wheatbelt (100%)
DOODLAKINE,Great Southern - Wheatbelt (100%)
DOOEN,Wimmera Mallee (100%)
DOOKIE,Goulburn/Murray (100%)
DOOKIE COLLEGE,Goulburn/Murray (100%)
DOOLANDELLA,Wivenhoe (100%)
DOOLBI,Wide Bay and Sunshine Coast (100%)
DOON DOON,North Coast (100%)
DOONAN,Wide Bay and Sunshine Coast (100%)
DOONBAH,North Coast (100%)
DOONGUL,Wide Bay and Sunshine Coast (100%)
DOONSIDE,Sydney Greater West (100%)
DOORALONG,Sydney North and West (100%)
DORA CREEK,Hunter (100%)
DOREEN,North Eastern Melbourne (100%)
DORODONG,Wimmera Mallee (100%)
DORRIGO,Mid North Coast (100%)
DORRIGO MOUNTAIN,Mid North Coast (100%)
DORROUGHBY,North Coast (100%)
DORSET VALE,Adelaide South (100%)
DOTSWOOD,Townsville (100%)
DOUBLE BAY,Sydney East Metro (100%)
DOUBLEVIEW,Perth North (100%)
DOUBTFUL CREEK,North Coast (100%)
DOUGHBOY,Wide Bay and Sunshine Coast (100%)
DOUGLAS (QLD 4354),Darling Downs (100%)
DOUGLAS (QLD 4814),Townsville (100%)
DOUGLAS (VIC),Wimmera Mallee (100%)
DOUGLAS PARK,Sydney South West (100%)
DOUGLAS RIVER,North and North Western Tasmania(75.7%);Hobart and Southern Tasmania(24.3%)
DOUGLAS-APSLEY,Hobart and Southern Tasmania (100%) 
DOVER,Hobart and Southern Tasmania (100%)
DOVER GARDENS,Adelaide South (100%)
DOVER HEIGHTS,Sydney East Metro (100%)
DOVETON,South Eastern Melbourne and Peninsula (100%)
DOWERIN,Great Southern - Wheatbelt (100%)
DOWLINGVILLE,Mid North SA (100%)
DOWNER,Capital Region (100%)
DOWNLANDS,North and North Western Tasmania (100%)
DOWNSFIELD,Wide Bay and Sunshine Coast (100%)
DOWNSIDE,Murray Riverina (100%)
DOWS CREEK,Mackay (100%)
DOWSING POINT,Hobart and Southern Tasmania (100%)
DOYALSON,Sydney North and West (100%)
DOYALSON NORTH,Sydney North and West (100%)
DOYLES CREEK,Hunter (100%)
DRAKE,New England and North West (100%)
DRAKE VILLAGE,New England and North West (100%)
DRAPER,Somerset (100%)
DRAYTON,Darling Downs (100%)
DREEITE,South Coast of Victoria (100%)
DREEITE SOUTH,South Coast of Victoria (100%)
DREWVALE,Brisbane South East (100%)
DRIFFIELD,Gippsland (100%)
DRIK DRIK,South Coast of Victoria (100%)
DRILDOOL,New England and North West (100%)
DRILLHAM,Darling Downs (100%)
DRILLHAM SOUTH,Darling Downs (100%)
DRINAN,Wide Bay and Sunshine Coast (100%)
DRIPSTONE,Far West Orana (100%)
DRIVER,Darwin (100%)
DROMANA,South Eastern Melbourne and Peninsula (100%)
DROME,Great Southern - Wheatbelt (100%)
DROMEDARY (QLD),Fitzroy (100%)
DROMEDARY (TAS),Hobart and Southern Tasmania (100%)
DROPMORE,Goulburn/Murray (100%)
DROUIN,Gippsland (100%)
DROUIN EAST,Gippsland (100%)
DROUIN SOUTH,Gippsland (100%)
DROUIN WEST,Gippsland (100%)
DRUMANURE,Goulburn/Murray (100%)
DRUMBORG,South Coast of Victoria (100%)
DRUMCONDRA,Barwon (100%)
DRUMMARTIN,Bendigo (100%)
DRUMMOND,Ballarat (100%)
DRUMMOND COVE,Geraldton (100%)
DRUMMOND NORTH,Ballarat (100%)
DRUMMOYNE,Sydney East Metro (100%)
DRUNG,Wimmera Mallee (100%)
DRY CREEK (NSW),Hunter (100%)
DRY CREEK (SA),Adelaide North (100%)
DRY DIGGINGS,Ballarat (100%)
DRY PLAIN,Capital Region (100%)
DRYSDALE,Barwon (100%)
DUARINGA,Fitzroy (100%)
DUBBO,Far West Orana (100%)
DUBLIN,Mid North SA (100%)
DUCHEMBEGARRA,Wimmera Mallee (100%)
DUCK CREEK,North Coast (100%)
DUCKENFIELD,Hunter (100%)
DUCKINWILLA,Wide Bay and Sunshine Coast (100%)
DUCKLO,Darling Downs (100%)
DUCKMALOI,Central West (100%)
DUDININ,Great Southern - Wheatbelt (100%)
DUDLEY,Hunter (100%)
DUDLEY EAST,Adelaide South (100%)
DUDLEY PARK (SA),Adelaide North (100%)
DUDLEY PARK (WA),Perth South (100%)
DUDLEY WEST,Adelaide South (100%)
DUFFY,Capital Region (100%)
DUFFYS FOREST,Sydney North and West (100%)
DUGANDAN,Wivenhoe (100%)
DUINGAL,Wide Bay and Sunshine Coast (100%)
DUKIN,Great Southern - Wheatbelt (100%)
DULACCA,Darling Downs (100%)
DULBELLING,Great Southern - Wheatbelt (100%)
DULCOT,Hobart and Southern Tasmania (100%)
DULGUIGAN,North Coast (100%)
DULONG,Wide Bay and Sunshine Coast (100%)
DULULU,Fitzroy (100%)
DULWICH,Adelaide South (100%)
DULWICH HILL,Sydney East Metro (100%)
DULYALBIN,Great Southern - Wheatbelt (100%)
DUM DUM,North Coast (100%)
DUMARESQ,New England and North West (100%)
DUMARESQ ISLAND,Mid North Coast (100%)
DUMARESQ VALLEY,New England and North West (100%)
DUMBALK,Gippsland (100%)
DUMBALK NORTH,Gippsland (100%)
DUMBARTON,Great Southern - Wheatbelt (100%)
DUMBERNING,Great Southern - Wheatbelt (100%)
DUMBLETON,Mackay (100%)
DUMBLEYUNG,Great Southern - Wheatbelt (100%)
DUMGREE,Fitzroy (100%)
DUMOSA,Wimmera Mallee (100%)
DUNACH,Ballarat (100%)
DUNALLEY,Hobart and Southern Tasmania (100%)
DUNBIBLE,North Coast (100%)
DUNBOGAN,Mid North Coast (100%)
DUNCAN,Adelaide South (100%)
DUNCANS CREEK,New England and North West (100%)
DUNCRAIG,Perth North (100%)
DUNDARRAH,Wide Bay and Sunshine Coast (100%)
DUNDAS (NSW),Sydney Greater West (100%)
DUNDAS (QLD),Wivenhoe (100%)
DUNDAS VALLEY,Sydney Greater West (100%)
DUNDATHU,Wide Bay and Sunshine Coast (100%)
DUNDEE,New England and North West (100%)
DUNDONNELL,South Coast of Victoria (100%)
DUNDOWRAN,Wide Bay and Sunshine Coast (100%)
DUNDOWRAN BEACH,Wide Bay and Sunshine Coast (100%)
DUNDURRABIN,Mid North Coast (100%)
DUNEDOO,Central West (100%)
DUNGARUBBA,North Coast (100%)
DUNGAY,North Coast (100%)
DUNGEREE,Central West (100%)
DUNGOG,Hunter (100%)
DUNGOWAN,New England and North West (100%)
DUNK,Cairns (100%)
DUNKELD (NSW),Central West (100%)
DUNKELD (QLD),Darling Downs (100%)
DUNKELD (VIC),South Coast of Victoria(99.3%);Wimmera Mallee(0.7%)
DUNLOP,Capital Region (100%)
DUNLUCE,Ballarat (100%)
DUNMORA,Wide Bay and Sunshine Coast (100%)
DUNMORE (NSW),Illawarra South Coast (100%)
DUNMORE (QLD),Darling Downs (100%)
DUNN ROCK,Great Southern - Wheatbelt (100%)
DUNNEWORTHY,Wimmera Mallee (100%)
DUNNROCK,Mackay (100%)
DUNNSTOWN,Ballarat (100%)
DUNOLLY (NSW),Hunter (100%)
DUNOLLY (VIC),Ballarat (100%)
DUNOON,North Coast (100%)
DUNORLAN,North and North Western Tasmania (100%)
DUNROBIN (VIC),South Coast of Victoria (100%)
DUNS CREEK,Hunter (100%)
DUNSBOROUGH,South West WA (100%)
DUNVILLE LOOP,Central West (100%)
DUNWICH,Brisbane South East (100%)
DURACK (NT),Darwin (100%)
DURACK (QLD),Wivenhoe (100%)
DURAL (NSW 2158),Sydney North and West (100%)
DURAMANA,Central West (100%)
DURANBAH,North Coast (100%)
DURANILLIN,Great Southern - Wheatbelt (100%)
DURDIDWARRAH,Barwon (100%)
DURHAM DOWNS,Darling Downs (100%)
DURHAM LEAD,Ballarat (100%)
DURHAM OX,Bendigo (100%)
DURI,New England and North West (100%)
DURONG,Wide Bay and Sunshine Coast (100%)
DURRAN DURRA,Capital Region (100%)
DURRAS NORTH,Illawarra South Coast (100%)
DURREN DURREN,Sydney North and West (100%)
DUTSON,Gippsland (100%)
DUTTON,Murray and South East(92.1%);Mid North SA(7.9%)
DUTTON EAST,Murray and South East (100%)
DUTTON PARK,Brisbane South East(87.4%);Somerset(12.6%)
DUTTON WAY,South Coast of Victoria (100%)
DUVERNEY,South Coast of Victoria (100%)
DWARDA,Great Southern - Wheatbelt (100%)
DWELLINGUP,Perth South (100%)
DYERS CROSSING,Mid North Coast (100%)
DYKEHEAD,Wide Bay and Sunshine Coast (100%)
DYNNYRNE,Hobart and Southern Tasmania (100%)
DYRAABA,North Coast (100%)
DYRRING,Hunter (100%)
DYSART (QLD),Mackay (100%)
DYSART (TAS),Hobart and Southern Tasmania (100%)
EAGLE BAY,South West WA (100%)
EAGLE HEIGHTS,Gold Coast (100%)
EAGLE POINT,Gippsland (100%)
EAGLE VALE,Sydney South West (100%)
EAGLEBY,Brisbane South East (100%)
EAGLEFIELD,Mackay (100%)
EAGLEHAWK,Bendigo (100%)
EAGLEHAWK NECK,Hobart and Southern Tasmania (100%)
EAGLEHAWK NORTH,Bendigo (100%)
EAGLEMONT,North Eastern Melbourne (100%)
EAGLETON,Hunter (100%)
EARLSTON,Goulburn/Murray (100%)
EARLVILLE,Cairns (100%)
EARLWOOD,Sydney East Metro (100%)
EAST ALBURY,Goulburn/Murray (100%)
EAST ARM,Darwin (100%)
EAST AUGUSTA,South West WA (100%)
EAST BAIRNSDALE,Gippsland (100%)
EAST BALLIDU,Great Southern - Wheatbelt (100%)
EAST BALLINA,North Coast (100%)
EAST BARRON,Cairns (100%)
EAST BENDIGO,Bendigo (100%)
EAST BEVERLEY,Great Southern - Wheatbelt (100%)
EAST BRANXTON,Hunter (100%)
EAST BRISBANE,Somerset(99.8%);Brisbane South East(0.2%)
EAST BUNBURY,South West WA (100%)
EAST CAM,North and North Western Tasmania (100%)
EAST CANNINGTON,Perth South (100%)
EAST COOYAR,Darling Downs (100%)
EAST CORAKI,North Coast (100%)
EAST CORRIMAL,Illawarra South Coast (100%)
EAST DAMBORING,Great Southern - Wheatbelt (100%)
EAST DEEP CREEK,Wide Bay and Sunshine Coast (100%)
EAST DEVONPORT,North and North Western Tasmania (100%)
EAST END,Fitzroy (100%)
EAST FELUGA,Cairns (100%)
EAST FREMANTLE,Perth South (100%)
EAST GEELONG,Barwon (100%)
EAST GOSFORD,Sydney North and West (100%)
EAST GREENMOUNT,Darling Downs (100%)
EAST GRESFORD,Hunter (100%)
EAST HALDON,Darling Downs (100%)
EAST HILLS,Sydney South West (100%)
EAST INNISFAIL,Cairns (100%)
EAST IPSWICH,Wivenhoe (100%)
EAST JINDABYNE,Capital Region (100%)
EAST KANGALOON,Illawarra South Coast (100%)
EAST KEMPSEY,Mid North Coast (100%)
EAST KILLARA,Sydney North and West (100%)
EAST KURRAJONG,Sydney North and West (100%)
EAST LAUNCESTON,North and North Western Tasmania (100%)
EAST LINDFIELD,Sydney North and West (100%)
EAST LISMORE,North Coast (100%)
EAST LYNNE,Illawarra South Coast (100%)
EAST MACKAY,Mackay (100%)
EAST MAITLAND,Hunter (100%)
EAST MELBOURNE,Inner Metropolitan Melbourne (100%)
EAST MOONTA,Mid North SA (100%)
EAST NANANGO,Wide Bay and Sunshine Coast (100%)
EAST NANNUP,South West WA (100%)
EAST NEWDEGATE,Great Southern - Wheatbelt (100%)
EAST PALMERSTON,Cairns (100%)
EAST PERTH,Perth North (100%)
EAST PINGELLY,Great Southern - Wheatbelt (100%)
EAST POINT,Darwin (100%)
EAST POPANYINNING,Great Southern - Wheatbelt (100%)
EAST RIDGLEY,North and North Western Tasmania (100%)
EAST ROCKINGHAM,Perth South (100%)
EAST RUSSELL,Cairns (100%)
EAST RYDE,Sydney North and West (100%)
EAST SALE,Gippsland (100%)
EAST SEAHAM,Hunter (100%)
EAST SIDE,Darwin (100%) 
EAST TAMWORTH,New England and North West (100%)
EAST TOOWOOMBA,Darling Downs (100%)
EAST TRINITY,Cairns (100%)
EAST VICTORIA PARK,Perth South (100%)
EAST WAGGA WAGGA,Murray Riverina (100%)
EAST WANGARATTA,Goulburn/Murray (100%)
EAST WARBURTON,North Eastern Melbourne (100%)
EAST WARDELL,North Coast (100%)
EAST WICKEPIN,Great Southern - Wheatbelt (100%)
EASTBROOK,South West WA (100%)
EASTERN CREEK,Sydney Greater West (100%)
EASTERN HEIGHTS,Wivenhoe (100%)
EASTERN VIEW,Barwon (100%)
EASTGARDENS,Sydney East Metro (100%)
EASTLAKES,Sydney East Metro (100%)
EASTVILLE,Bendigo (100%)
EASTWOOD (NSW),Sydney North and West (100%)
EASTWOOD (SA),Adelaide South (100%)
EASTWOOD (VIC),Gippsland (100%)
EATON (NT),Darwin (100%)
EATON (QLD),Cairns (100%)
EATON (WA),South West WA (100%)
EATONS HILL,Somerset (100%)
EATONSVILLE,North Coast (100%)
EBA,Murray and South East (100%)
EBBW VALE,Wivenhoe (100%)
EBDEN,Goulburn/Murray (100%)
EBENEZER (NSW),Sydney North and West (100%)
EBENEZER (QLD),Wivenhoe (100%)
EBENEZER (SA),Mid North SA (100%)
EBOR,New England and North West (100%)
ECCLESTON,Hunter (100%)
ECHUCA,Goulburn/Murray (100%)
ECHUCA VILLAGE,Goulburn/Murray (100%)
ECHUCA WEST,Goulburn/Murray (100%)
ECHUNGA,Adelaide South (100%)
ECKLIN SOUTH,South Coast of Victoria (100%)
EDDERTON,Hunter (100%)
EDDINGTON,Ballarat (100%)
EDEN,Illawarra South Coast (100%)
EDEN CREEK,North Coast (100%)
EDEN HILL,Perth North (100%)
EDEN HILLS,Adelaide South (100%)
EDEN ISLAND,Gold Coast (100%)
EDEN PARK,North Eastern Melbourne (100%)
EDEN VALLEY,Mid North SA(94.2%);Murray and South East(5.8%)
EDENHOPE,Wimmera Mallee (100%)
EDENS LANDING,Brisbane South East (100%)
EDENSOR PARK,Sydney South West (100%)
EDENVILLE,North Coast (100%)
EDGCUMBE BEACH,North and North Western Tasmania (100%)
EDGE HILL,Cairns (100%)
EDGECLIFF,Sydney East Metro (100%)
EDGECOMBE,Bendigo (100%)
EDGEROI,New England and North West (100%)
EDGEWATER,Perth North (100%)
EDGEWORTH,Hunter (100%)
EDI,Goulburn/Murray (100%)
EDI UPPER,Goulburn/Murray (100%)
EDINBURGH,Adelaide North (100%)
EDITH (NSW),Central West (100%)
EDITH CREEK,North and North Western Tasmania (100%)
EDITHBURGH,Mid North SA (100%)
EDITHVALE,Inner Metropolitan Melbourne (100%)
EDMONDSON PARK,Sydney South West (100%)
EDMONTON,Cairns (100%)
EDWARDSTOWN,Adelaide South (100%)
EENAWEENA,Far West Orana (100%)
EERWAH VALE,Wide Bay and Sunshine Coast (100%)
EGANSTOWN,Ballarat (100%)
EGG LAGOON,North and North Western Tasmania (100%)
EGGS AND BACON BAY,Hobart and Southern Tasmania (100%)
EGLINTON (NSW),Central West (100%)
EGLINTON (WA),Perth North (100%)
EGYPT,Darling Downs (100%)
EIDSVOLD,Wide Bay and Sunshine Coast (100%)
EIDSVOLD EAST,Wide Bay and Sunshine Coast (100%)
EIDSVOLD WEST,Wide Bay and Sunshine Coast (100%)
EIGHT MILE CREEK (SA),Murray and South East (100%)
EIGHT MILE PLAINS,Brisbane South East (100%)
EIGHTEEN MILE,North Coast (100%)
EILDON,Goulburn/Murray (100%)
EIMEO,Mackay (100%)
EL ARISH,Cairns (100%)
ELABBIN,Great Southern - Wheatbelt (100%)
ELAINE,Ballarat (100%)
ELAMAN CREEK,Wide Bay and Sunshine Coast (100%)
ELANDS,Mid North Coast (100%)
ELANORA,Gold Coast (100%)
ELANORA HEIGHTS,Sydney North and West (100%)
ELBOW VALLEY,Darling Downs (100%)
ELCOMBE,New England and North West (100%)
ELDERSLIE (NSW 2335),Hunter (100%)
ELDERSLIE (NSW 2570),Sydney South West (100%)
ELDERSLIE (TAS),Hobart and Southern Tasmania (100%)
ELDORADO,Goulburn/Murray (100%)
ELECTRA,Wide Bay and Sunshine Coast (100%)
ELECTRONA,Hobart and Southern Tasmania (100%)
ELEEBANA,Hunter (100%)
ELERMORE VALE,Hunter (100%)
ELEVATED PLAINS,Ballarat (100%)
ELGIN (QLD),Mackay (100%)
ELGIN (WA),South West WA (100%)
ELGIN VALE,Wide Bay and Sunshine Coast (100%)
ELI WATERS,Wide Bay and Sunshine Coast (100%)
ELIMBAH,Somerset (100%)
ELINGAMITE,South Coast of Victoria (100%)
ELINGAMITE NORTH,South Coast of Victoria (100%)
ELIZABETH,Adelaide North (100%)
ELIZABETH BAY,Sydney East Metro (100%)
ELIZABETH BEACH,Mid North Coast (100%)
ELIZABETH DOWNS,Adelaide North (100%)
ELIZABETH EAST,Adelaide North (100%)
ELIZABETH GROVE,Adelaide North (100%)
ELIZABETH HILLS,Sydney South West (100%)
ELIZABETH NORTH,Adelaide North (100%)
ELIZABETH PARK,Adelaide North (100%)
ELIZABETH SOUTH,Adelaide North (100%)
ELIZABETH TOWN,North and North Western Tasmania (100%)
ELIZABETH VALE,Adelaide North (100%)
ELLALONG,Hunter (100%)
ELLAND,North Coast (100%)
ELLANGOWAN (NSW),North Coast (100%)
ELLANGOWAN (QLD),Darling Downs (100%)
ELLASWOOD,Gippsland (100%)
ELLEKER,Great Southern - Wheatbelt (100%)
ELLEN GROVE,Wivenhoe (100%)
ELLENBOROUGH,Mid North Coast (100%)
ELLENBROOK,Perth North (100%)
ELLENDALE (TAS),Hobart and Southern Tasmania (100%)
ELLERBECK,Cairns (100%)
ELLERSLIE (NSW 2648),Murray Riverina (100%)
ELLERSLIE (NSW 2729),Murray Riverina (100%)
ELLERSLIE (VIC),South Coast of Victoria (100%)
ELLERSTON,Hunter (100%)
ELLESMERE,Wide Bay and Sunshine Coast (100%)
ELLIMINYT,South Coast of Victoria (100%)
ELLINBANK,Gippsland (100%)
ELLINJAA,Cairns (100%)
ELLINTHORP,Darling Downs (100%)
ELLIOTT (QLD),Wide Bay and Sunshine Coast (100%)
ELLIOTT (TAS),North and North Western Tasmania (100%)
ELLIOTT HEADS,Wide Bay and Sunshine Coast (100%)
ELLIS LANE,Sydney South West (100%)
ELMHURST,Ballarat (100%)
ELMORE,Bendigo (100%)
ELONG ELONG,Far West Orana (100%)
ELPHINSTONE (QLD 4361),Darling Downs (100%)
ELPHINSTONE (QLD 4742),Mackay (100%)
ELPHINSTONE (VIC),Bendigo (100%)
ELRINGTON,Hunter (100%)
ELSMORE,New England and North West (100%)
ELSTERNWICK,Inner Metropolitan Melbourne (100%)
ELTHAM (NSW),North Coast (100%)
ELTHAM (VIC),North Eastern Melbourne (100%)
ELTHAM NORTH,North Eastern Melbourne (100%)
ELWOMPLE,Murray and South East (100%)
ELWOOD,Inner Metropolitan Melbourne (100%)
EMBLETON,Perth North (100%)
EMERALD (QLD),Fitzroy (100%)
EMERALD (VIC),South Eastern Melbourne and Peninsula (100%)
EMERALD BEACH,Mid North Coast (100%)
EMERALD HILL,New England and North West (100%)
EMERTON,Sydney Greater West (100%)
EMITA,North and North Western Tasmania (100%)
EMMAVILLE,New England and North West (100%)
EMPIRE BAY,Sydney North and West (100%)
EMPIRE VALE,North Coast (100%)
EMU,Wimmera Mallee(83.7%);Ballarat(16.3%)
EMU BAY,Adelaide South (100%)
EMU CREEK (QLD),Darling Downs (100%)
EMU CREEK (VIC),Bendigo (100%)
EMU DOWNS,Mid North SA (100%)
EMU FLAT (SA),Mid North SA (100%)
EMU HEIGHTS (NSW),Sydney Greater West (100%)
EMU HEIGHTS (TAS),North and North Western Tasmania (100%)
EMU PARK,Fitzroy (100%)
EMU PLAINS,Sydney Greater West (100%)
EMU POINT,Great Southern - Wheatbelt (100%)
EMU SWAMP,Central West (100%)
EMU VALE,Darling Downs (100%)
ENCOUNTER BAY,Adelaide South (100%)
ENDEAVOUR HILLS,South Eastern Melbourne and Peninsula (100%)
ENFIELD (NSW),Sydney East Metro (100%)
ENFIELD (SA),Adelaide North (100%)
ENFIELD (VIC),Ballarat (100%)
ENGADINE,Sydney East Metro (100%)
ENGLAND CREEK,Wivenhoe (100%)
ENGLEFIELD,South Coast of Victoria (100%)
ENGLORIE PARK,Sydney South West (100%)
ENMORE (NSW 2042),Sydney East Metro (100%)
ENMORE (NSW 2350),New England and North West (100%)
ENOGGERA,Somerset (100%)
ENOGGERA RESERVOIR,Somerset (100%)
ENSAY,Gippsland (100%)
ENSAY NORTH,Gippsland (100%)
EPPALOCK,Bendigo (100%)
EPPING (NSW),Sydney North and West(95.8%);Sydney Greater West(4.2%)
EPPING (VIC),North Eastern Melbourne (100%)
EPPING FOREST,North and North Western Tasmania (100%)
EPSOM (QLD),Mackay (100%)
EPSOM (VIC),Bendigo (100%)
ERAKALA,Mackay (100%)
ERARING,Hunter (100%)
ERCILDOUNE,Ballarat (100%)
ERICA,Gippsland (100%)
ERIGOLIA,Murray Riverina (100%)
ERIN VALE,Murray Riverina (100%)
ERINA,Sydney North and West (100%)
ERINA HEIGHTS,Sydney North and West (100%)
ERINDALE,Adelaide South (100%)
ERITH,Mid North SA (100%)
ERMINGTON,Sydney Greater West (100%)
EROWAL BAY,Illawarra South Coast (100%)
ERRIBA,North and North Western Tasmania (100%)
ERROWANBANG,Central West (100%)
ERSKINE (WA),Perth South (100%)
ERSKINE PARK,Sydney Greater West (100%)
ERSKINEVILLE,Sydney East Metro (100%)
ERUDGERE,Central West (100%)
ESCHOL PARK,Sydney South West (100%)
ESK (QLD),Wivenhoe (100%)
ESKDALE (QLD),Wivenhoe (100%)
ESKDALE (VIC),Goulburn/Murray (100%)
ESMOND,Goulburn/Murray (100%)
ESPERANCE,Esperance (100%)
ESSENDON,Inner Metropolitan Melbourne (100%)
ESSENDON NORTH,Inner Metropolitan Melbourne (100%)
ESSENDON WEST,North Western Melbourne (100%)
ESSINGTON,Central West (100%)
ESTELLA,Murray Riverina (100%)
ETHELTON,Adelaide North (100%)
